,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
323,https://jow.fr/recipes/primavera-rolls-85kb746c5asxgn0y0aiu,Primavera rolls,,25 minutes,2 minutes,0 minutes,872 kcal,['Sauce soja salée', 'Beurre de cacahuète', 'Feuille de riz', 'Vermicelles de riz', 'Avocat', 'Menthe (feuilles)', 'Concombre', 'Carottes râpées (nature)', 'Citron vert'],['2 càs', '1 càs', '5  ', '60 g', '1  ', '1/5 bou.', '80 g', '80 g', '1/4  '],,,,,,,,
325,https://jow.fr/recipes/salade-campagnarde-85kbi5ztgl3m4ats0bew,Salade campagnarde,2 € et 4 € par portion,7 minutes,15 minutes,0 minutes,281 kcal,['Œuf de caille', 'Pommes de terre (primeur)', 'Salade (mâche)', 'Chèvre frais', 'Bacon'],['3  ', '150 g', '2 poignées', '20 g', '2 tran.'],,,,,,,,,,,,,,,,
327,https://jow.fr/recipes/omelette-a-la-courgette-85kbkijdgl3m4ats0bf8,Omelette à la courgette,-2 € par portion,11 minutes,4 minutes,0 minutes,305 kcal,['Œuf', 'Ail', 'Courgette', 'Fromage frais', 'Menthe (feuilles)', 'Persil (frais)', 'Yaourt nature'],['2  ', '1/4 gou.', '90 g', '30 g', '1/10 bou.', '1/10 bou.', '2 càs'],,,,,,,,,,,,
328,https://jow.fr/recipes/wrap-courgette-chevre-85kbaoro5asxgn0y0ajb,Wrap courgette chèvre,2 € et 4 € par portion,0 minutes,10 minutes,0 minutes,517 kcal,['Chèvre frais', 'Courgette', 'Salade (mélange mâche-roquette)', 'Tortilla (blé)', 'Noisette', 'Miel (liquide)', 'Menthe (feuilles)'],['2 càs', '1/2  ', '2 poignées', '1  ', '15 g', '1/2 càc', '1/10 bou.'],,,,,,,,,,,,
330,https://jow.fr/recipes/courgettes-farcies-lardons-ricotta-85pgab8kcssw8sn5155j,Courgettes farcies lardons ricotta,2 € et 4 € par portion,8 minutes,31 minutes,0 minutes,442 kcal,['Courgette ronde', 'Lardons', 'Ricotta', 'Parmesan (râpé)', 'Pignons de pin', 'Épinard (frais)'],['2  ', '50 g', '80 g', '1 càs', '1/2 càs', '2 poignées'],,,,,,,,,,,,,,
331,https://jow.fr/recipes/fish-et-mango-tacos-85pkg2bbhy5eg36h05wk,Fish & mango tacos,+4 € par portion,11 minutes,4 minutes,0 minutes,477 kcal,['Tortilla (blé)', 'Cabillaud (frais)', 'Coriandre (frais)', 'Oignon rouge', 'Mangue', 'Citron vert'],['2  ', '1  ', '1/10 bou.', '1/8  ', '1/4  ', '1/2  '],,,,,,,,,,,,,,
332,https://jow.fr/recipes/salade-courgette-et-pois-chiches-85si4new70qt09up1c4s,Salade courgette & pois chiches ,-2 € par portion,0 minutes,6 minutes,0 minutes,460 kcal,['Courgette', 'Pois chiches (cuits)', 'Échalote', 'Olive noire dénoyautée', 'Citron jaune', 'Persil (frais)'],['160 g', '120 g', '1/4  ', '20 g', '1/4  ', '1/10 bou.'],,,,,,,,,,,,,,
333,https://jow.fr/recipes/cabillaud-et-sauce-chermoula-85sja9hk70qt09up1c9i,Cabillaud & sauce Chermoula,+4 € par portion,8 minutes,4 minutes,0 minutes,179 kcal,['Cabillaud (frais)', 'Coriandre (frais)', 'Ail', 'Tomate cerise', 'Citron jaune', 'Cumin (moulu)'],['1  ', '1/5 bou.', '1/4 gou.', '200 g', '1/4  ', '1 pinc.'],,,,,,,,,,,,,,
334,https://jow.fr/recipes/saumon-en-croute-85sj4pe070qt09up1c7y,Saumon en croûte,+4 € par portion,9 minutes,30 minutes,0 minutes,371 kcal,['Saumon (frais)', 'Chapelure', 'Persil (frais)', 'Poireau', 'Moutarde', 'Ail'],['1  ', '1 càs', '1 càc', '1  ', '1/2 càc', '1/4 gou.'],,,,,,,,,,,,,,
336,https://jow.fr/recipes/risotto-aux-courgettes-85siljm070qt09up1c5j,Risotto aux courgettes,-2 € par portion,6 minutes,25 minutes,0 minutes,368 kcal,['Riz (Arborio)', 'Courgette', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '100 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
337,https://jow.fr/recipes/brochette-melon-et-jambon-85sikt5470qt09up1c59,Brochette melon & jambon,,0 minutes,10 minutes,0 minutes,292 kcal,['Pics à brochette', 'Melon', 'Jambon cru (Prosciutto)', 'Basilic (frais)', 'Mozzarella (mini)'],['4  ', '1/4  ', '2 tran.', '1/10 bou.', '60 g'],,,,,,,,,,,,,,,,
338,https://jow.fr/recipes/risotto-comte-et-saucisse-a-l-ancienne-85sjfb0o70qt09up1ca8,Risotto comté & saucisse à l'ancienne,2 € et 4 € par portion,6 minutes,20 minutes,0 minutes,686 kcal,['Riz (Arborio)', 'Échalote', 'Ail', 'Comté', 'Saucisse (fumée)', 'Bouillon de volaille (cube)', 'Vin blanc'],['70 g', '1/4  ', '1/4 gou.', '20 g', '100 g', '1/4  ', '2 cl'],,,,,,,,,,,,
339,https://jow.fr/recipes/melon-jambon-2-0-85xreihr7lpzh6lf00sp,Melon jambon 2.0,+4 € par portion,0 minutes,6 minutes,0 minutes,477 kcal,['Melon', 'Ricotta', 'Jambon cru', 'Basilic (frais)'],['1/2  ', '80 g', '3 tran.', '1/10 bou.'],,,,,,,,,,,,,,,,,,
340,https://jow.fr/recipes/salade-pain-d-epice-chevre-abricot-85z03q57aoivlszv093d,Salade pain d'épices & abricot,-2 € par portion,0 minutes,6 minutes,0 minutes,437 kcal,"['Chèvre frais', 'Pistaches (grillées)', 'Abricots (secs)', 'Salade (Mélange)', 'épices"", ', ']']",['20 g', '15 g', '30 g', '2 poignées', '30 g', '1 càc'],,,,,,,,,,,,,,,,,,,
341,https://jow.fr/recipes/aubergines-toniques-860kl7h7aoivlszv096m,Aubergines toniques,2 € et 4 € par portion,9 minutes,35 minutes,0 minutes,352 kcal,['Aubergine', 'Thon (conserve)', 'Chapelure', 'Parmesan (morceaux)', 'Tomate (chair)', 'Olive noire dénoyautée', 'Ail'],['1  ', '50 g', '1 càs', '20 g', '30 g', '10 g', '1/2 gou.'],,,,,,,,,,,,
343,https://jow.fr/recipes/caponata-860lbllnaoivlszv098j,Caponata,-2 € par portion,9 minutes,30 minutes,0 minutes,182 kcal,['Aubergine', 'Tomate pelée', 'Oignon jaune', 'Ail', 'Olives vertes (dénoyautées)', 'Câpres', 'Vinaigre de vin rouge', 'Pignons de pin', 'Basilic (frais)'],['200 g', '100 g', '1/4  ', '1/2 gou.', '10 g', '1/2 càs', '1 càc', '1/4 càs', '1/10 bou.'],,,,,,,,
344,https://jow.fr/recipes/poulet-et-semoule-persillee-860njxnfaoivlszv099c,Poulet et semoule persillée,2 € et 4 € par portion,6 minutes,15 minutes,0 minutes,477 kcal,['Poulet (escalope)', 'Persil (frais)', 'Abricots (secs)', 'Amandes (effilées)', 'Citron jaune', 'Vinaigre balsamique', 'Semoule', 'Ail'],['1  ', '1/5 bou.', '20 g', '10 g', '1/2  ', '1/2 càs', '50 g', '1/4 gou.'],,,,,,,,,,
345,https://jow.fr/recipes/mais-aux-saint-jacques-860r3x97aoivlszv099v,Maïs aux Saint-Jacques,+4 € par portion,3 minutes,7 minutes,0 minutes,367 kcal,['Maïs (conserve)', 'Chorizo (entier)', 'Noix de Saint-Jacques (surgelé)', 'Ciboulette', 'Citron vert', 'Ail', 'Crème liquide'],['100 g', '20 g', '80 g', '1/10 bou.', '1/4  ', '1/4 gou.', '2 càs'],,,,,,,,,,,,
346,https://jow.fr/recipes/risotto-aux-courgettes-8615ffcqhoqc7fuz0c4k,Risotto aux courgettes,-2 € par portion,6 minutes,29 minutes,0 minutes,368 kcal,['Riz (Arborio)', 'Courgette', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '100 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
347,https://jow.fr/recipes/risotto-aux-courgettes-8615ig6yhoqc7fuz0c6g,Risotto aux courgettes,-2 € par portion,6 minutes,17 minutes,0 minutes,368 kcal,['Riz (Arborio)', 'Courgette', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '100 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
348,https://jow.fr/recipes/risotto-comte-et-saucisse-a-l-ancienne-861622yihoqc7fuz0cb2,Risotto comté & saucisse à l'ancienne,2 € et 4 € par portion,8 minutes,21 minutes,0 minutes,645 kcal,['Riz (Arborio)', 'Échalote', 'Comté', 'Saucisse (fumée)', 'Bouillon de volaille (cube)', 'Vin blanc', 'Ail'],['70 g', '1/4  ', '20 g', '100 g', '1/4  ', '2 cl', '1/4 gou.'],,,,,,,,,,,,
349,https://jow.fr/recipes/risotto-comte-et-saucisse-a-l-ancienne-8616422ihoqc7fuz0cdt,Risotto comté & saucisse à l'ancienne,2 € et 4 € par portion,6 minutes,14 minutes,0 minutes,686 kcal,['Riz (Arborio)', 'Échalote', 'Comté', 'Saucisse (fumée)', 'Bouillon de volaille (cube)', 'Vin blanc', 'Ail'],['70 g', '1/4  ', '20 g', '100 g', '1/4  ', '2 cl', '1/4 gou.'],,,,,,,,,,,,
350,https://jow.fr/recipes/risotto-aux-asperges-86167iwqhoqc7fuz0cm3,Risotto aux asperges,2 € et 4 € par portion,6 minutes,19 minutes,0 minutes,371 kcal,['Riz (Arborio)', 'Asperges vertes (fraîches)', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '100 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
351,https://jow.fr/recipes/dahl-lentilles-gingembre-coco-8616c58ahoqc7fuz0cnx,Dahl lentilles gingembre coco,-2 € par portion,8 minutes,25 minutes,0 minutes,460 kcal,['Lentilles corail', 'Lait de coco', 'Ail', 'Gingembre (frais)', 'Curry (poudre)', 'Oignon jaune'],['80 g', '7 cl', '1/4 gou.', '1 cm', '1 càc', '1/4  '],,,,,,,,,,,,,,
352,https://jow.fr/recipes/dahl-lentilles-gingembre-coco-8616eid6hoqc7fuz0cpr,Dahl lentilles gingembre coco,-2 € par portion,6 minutes,12 minutes,0 minutes,460 kcal,['Lentilles corail', 'Lait de coco', 'Ail', 'Gingembre (frais)', 'Curry (poudre)', 'Oignon jaune'],['80 g', '7 cl', '1/4 gou.', '1 cm', '1 càc', '1/4  '],,,,,,,,,,,,,,
353,https://jow.fr/recipes/gnocchis-champignons-feta-86177myfgnnp01sb18r1,Gnocchis champignons feta,-2 € par portion,5 minutes,10 minutes,0 minutes,468 kcal,['Gnocchi', 'Champignons de Paris (frais)', 'Feta', 'Crème liquide', 'Menthe (feuilles)', 'Ail', 'Vin blanc'],['150 g', '70 g', '20 g', '3 cl', '1/10 bou.', '1/4 gou.', '2 cl'],,,,,,,,,,,,
356,https://jow.fr/recipes/gaspacho-de-betterave-8617fqbbgnnp01sb18xp,Gaspacho de betterave,-2 € par portion,0 minutes,5 minutes,0 minutes,167 kcal,['Betterave (cuite)', 'Concombre', 'Citron jaune', 'Chèvre frais', 'Menthe (feuilles)'],['150 g', '120 g', '1/4  ', '40 g', '1/10 bou.'],,,,,,,,,,,,,,,,
357,https://jow.fr/recipes/gaspacho-tomate-fraise-basilic-et-burrata-8617jqifgnnp01sb1975,Gaspacho tomate fraise,+4 € par portion,6 minutes,1 minute,0 minutes,360 kcal,['Tomate', 'Fraise', 'Basilic (frais)', 'Burrata', 'Ail', 'Oignon rouge', 'Biscotte'],['3  ', '4  ', '1/10 bou.', '1/2  ', '1/4 gou.', '1/4  ', '1  '],,,,,,,,,,,,
358,https://jow.fr/recipes/veloute-de-petit-pois-thai-861qi6u5kuja43cd1a6u,Velouté de petits pois épicé,-2 € par portion,8 minutes,11 minutes,0 minutes,303 kcal,['Petits pois (surgelés)', 'Oignon rouge', 'Ail', 'Pâte de curry (vert)', 'Lait de coco'],['200 g', '1/4  ', '1/4 gou.', '1 càc', '5 cl'],,,,,,,,,,,,,,,,
359,https://jow.fr/recipes/soupe-mexicaine-861qk10dkuja43cd1a9s,Soupe mexicaine,2 € et 4 € par portion,10 minutes,32 minutes,0 minutes,424 kcal,"['Patate douce', 'Tomate (chair)', 'Avocat', 'Oignon jaune', 'Bouillon de légumes (cube)', 'Espelette"", ', ', ', ', ', ', ', ']']",['150 g', '100 g', '1/4  ', '1/2  ', '1/4  ', '1 pinc.', '1/4  ', '15 g', '1/10 bou.', '10 g'],,,,,,,,,,,,,,,
361,https://jow.fr/recipes/soupe-marocaine-861xfjoz61wi9s360lp9,Soupe marocaine,-2 € par portion,6 minutes,10 minutes,0 minutes,322 kcal,['Tomate (chair)', 'Oignon jaune', 'Ail', 'Lait de coco', 'Coriandre (frais)', 'Thym (feuilles)', 'Pois chiches (cuits)', 'Cumin (moulu)', 'Paprika', 'Harissa (pâte)'],['300 g', '1/4  ', '1/4 gou.', '2 cl', '1/10 bou.', '2 pinc.', '40 g', '1 pinc.', '1 pinc.', '1/2 càc'],,,,,,
362,https://jow.fr/recipes/jardiniere-de-legumes-861xixyr61wi9s360lus,Jardinière de légumes,2 € et 4 € par portion,10 minutes,32 minutes,0 minutes,238 kcal,['Pommes de terre (primeur)', 'Haricot vert (frais)', 'Petits pois (surgelés)', 'Carotte (frais)', 'Oignon nouveau', 'Lardons', 'Ail', 'Bouillon de légumes (cube)'],['70 g', '50 g', '50 g', '50 g', '1  ', '20 g', '1/4 gou.', '1/4  '],,,,,,,,,,
363,https://jow.fr/recipes/gaspacho-andalou-862bgh612uqoilsp19cg,Gaspacho andalou,-2 € par portion,0 minutes,9 minutes,0 minutes,201 kcal,['Tomate', 'Poivron rouge', 'Concombre', 'Oignon rouge', 'Ail'],['150 g', '1/2  ', '1/4  ', '1/4  ', '1/4 gou.'],,,,,,,,,,,,,,,,
364,https://jow.fr/recipes/brunch-nordique-862g7e7587dtl5zk1ct9,Brunch nordique,+4 € par portion,0 minutes,5 minutes,0 minutes,493 kcal,['Pain noir', 'Saumon (fumé)', 'Concombre', 'Fromage frais', 'Ciboulette', 'Citron jaune'],['2 tran.', '2 tran.', '100 g', '50 g', '1/10 bou.', '1/4  '],,,,,,,,,,,,,,
366,https://jow.fr/recipes/salade-melon-figue-feta-862i7mox87dtl5zk1cv0,Salade melon figue feta,2 € et 4 € par portion,0 minutes,7 minutes,0 minutes,383 kcal,['Melon (vert)', 'Figue', 'Feta', 'Basilic (frais)'],['1/4  ', '1.5  ', '50 g', '1/10 bou.'],,,,,,,,,,,,,,,,,,
367,https://jow.fr/recipes/oeufs-mimosa-en-3-facons-862jgzr3ajiclq190xm1,Œufs mimosa en 3 façons,,7 minutes,9 minutes,0 minutes,346 kcal,['Lard (tranches)', 'Œuf', 'Ciboulette', 'Paprika', 'Mayonnaise'],['1 tran.', '2  ', '1/10 bou.', '1 pinc.', '2 càc'],,,,,,,,,,,,,,,,
370,https://jow.fr/recipes/brochette-saumon-et-citron-865dckragqrq8ig71bqa,Brochette saumon & citron,+4 € par portion,6 minutes,5 minutes,0 minutes,538 kcal,['Semoule', 'Saumon (frais)', 'Citron jaune', 'Bouillon de légumes (cube)', 'Pics à brochette'],['70 g', '1  ', '1/2  ', '1/4  ', '1  '],,,,,,,,,,,,,,,,
375,https://jow.fr/recipes/salade-de-concombre-et-cacahuetes-868y8uxola8i51431amb,Salade de concombre & cacahuètes,-2 € par portion,6 minutes,2 minutes,0 minutes,266 kcal,['Concombre', 'Cacahuète', 'Coriandre (frais)', 'Oignon rouge', 'Cumin (graines)', 'Citron jaune'],['250 g', '15 g', '1/10 bou.', '1/4  ', '1 pinc.', '1/4  '],,,,,,,,,,,,,,
379,https://jow.fr/recipes/salade-indienne-869g7r3fhi0j3djw00ee,Salade indienne,-2 € par portion,6 minutes,10 minutes,0 minutes,535 kcal,['Carotte (frais)', 'Lentilles corail', 'Quinoa (cru)', 'Feta', 'Curry (poudre)', 'Citron jaune', 'Coriandre (frais)'],['100 g', '50 g', '40 g', '20 g', '1/4 càc', '1/4  ', '1/10 bou.'],,,,,,,,,,,,
394,https://jow.fr/recipes/greek-pasta-salad-86l8iv2kaqcl57ub03ok,Greek pasta salad,2 € et 4 € par portion,5 minutes,8 minutes,0 minutes,472 kcal,['Pâtes (Fusilli)', 'Tomate', 'Olive noire dénoyautée', 'Concombre', 'Feta', 'Oignon rouge', 'Origan (séché)'],['70 g', '1  ', '15 g', '130 g', '30 g', '1/8  ', '1 pinc.'],,,,,,,,,,,,
398,https://jow.fr/recipes/papillote-poulet-citron-86xl4fs82mdt6eyo00l1,Papillote poulet citron,2 € et 4 € par portion,9 minutes,45 minutes,0 minutes,415 kcal,['Poulet (escalope)', 'Pommes de terre', 'Citron jaune', 'Vin blanc', 'Romarin (séché)'],['1  ', '250 g', '1/4  ', '1 cl', '1 pinc.'],,,,,,,,,,,,,,,,
399,https://jow.fr/recipes/sesame-bowl-876yatyp6kbp1etn076t,Sésame bowl,-2 € par portion,6 minutes,15 minutes,0 minutes,477 kcal,['Quinoa (cru)', 'Aubergine', 'Brocoli (frais)', 'Graines de sésame', 'Beurre de cacahuète', 'Citron jaune', 'Pois chiches (cuits)'],['40 g', '1/4  ', '1/4  ', '1/2 càc', '1/2 càs', '1/4  ', '70 g'],,,,,,,,,,,,
400,https://jow.fr/recipes/chipo-et-legumes-rotis-876x1fe96kbp1etn0764,Chipo & légumes rôtis,2 € et 4 € par portion,8 minutes,45 minutes,0 minutes,652 kcal,['Saucisse (chipolata)', 'Pommes de terre (primeur)', 'Oignon jaune', 'Ail', 'Vin blanc', 'Poivron rouge', 'Thym (feuilles)'],['2  ', '200 g', '1/4  ', '1/2 gou.', '2 cl', '1/2  ', '1 pinc.'],,,,,,,,,,,,
401,https://jow.fr/recipes/poulet-bang-bang-877chnvu0kb4ic0r08z5,Poulet Bang Bang,2 € et 4 € par portion,6 minutes,10 minutes,0 minutes,250 kcal,['Poulet (escalope)', 'Salade (Romaine)', 'Oignon rouge', 'Coriandre (frais)', 'Sauce soja salée', 'Gingembre (frais)', 'Citron jaune'],['1  ', '1/2  ', '1/8  ', '1/5 bou.', '1 càs', '2 cm', '1/4  '],,,,,,,,,,,,
402,https://jow.fr/recipes/nachos-veggie-876yijox6kbp1etn079c,Nachos veggie,,9 minutes,10 minutes,0 minutes,717 kcal,['Chips de tortillas', 'Poivron rouge', 'Chili (épices)', 'Haricots rouges (cuits)', 'Oignon nouveau', 'Fromage râpé', 'Cheddar (râpé)'],['100 g', '1/2  ', '1/2 càc', '80 g', '1/2  ', '10 g', '10 g'],,,,,,,,,,,,
403,https://jow.fr/recipes/steak-et-cheddar-polenta-877y1dlseig33og60n7l,Steak & cheddar polenta,+4 € par portion,5 minutes,15 minutes,0 minutes,682 kcal,['Polenta', 'Cheddar (râpé)', 'Lait', 'Bœuf (steak)', 'Oignon jaune', 'Tomate (chair)', 'Poivron rouge', 'Ail'],['50 g', '10 g', '25 cl', '1  ', '1/2  ', '50 g', '1/2  ', '1/4 gou.'],,,,,,,,,,
404,https://jow.fr/recipes/pasta-pistacchio-e-olive-877cluei0kb4ic0r08zp,Pasta pistacchio e olive,-2 € par portion,5 minutes,10 minutes,0 minutes,678 kcal,['Pistaches (grillées)', 'Pâtes (Pipe rigate)', 'Olive noire dénoyautée', 'Ail', 'Basilic (frais)'],['15 g', '100 g', '15 g', '1/4 gou.', '1/5 bou.'],,,,,,,,,,,,,,,,
405,https://jow.fr/recipes/risotto-aux-poivrons-877g9gyy0kb4ic0r0916,Risotto aux poivrons,-2 € par portion,6 minutes,18 minutes,0 minutes,336 kcal,['Riz (Arborio)', 'Poivron rouge', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '1/2  ', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
407,https://jow.fr/recipes/saucisse-puree-et-epinards-879u77pw2ts326bz02mm,Saucisse purée & épinards,2 € et 4 € par portion,6 minutes,15 minutes,0 minutes,764 kcal,['Pommes de terre', 'Saucisse (fumée)', 'Épinards (surgelés)', 'Crème fraîche', 'Lait', 'Beurre'],['250 g', '100 g', '80 g', '1 càs', '5 cl', '20 g'],,,,,,,,,,,,,,
408,https://jow.fr/recipes/cabillaud-au-beurre-de-capres-879ug6vo2ts326bz02ph,Cabillaud au beurre de câpres,+4 € par portion,6 minutes,17 minutes,0 minutes,483 kcal,['Pommes de terre', 'Cabillaud (frais)', 'Lait', 'Beurre', 'Câpres', 'Échalote', 'Vin blanc', 'Citron jaune'],['250 g', '1  ', '5 cl', '20 g', '1/4 càs', '1/2  ', '1 cl', '1/4  '],,,,,,,,,,
409,https://jow.fr/recipes/salade-de-saumon-marine-879uij842ts326bz02qa,Salade de saumon mariné,+4 € par portion,6 minutes,4 minutes,0 minutes,402 kcal,"['Saumon (frais)', 'Sauce soja salée', 'Concombre', 'Feta', 'érable"", ', ']']",['1  ', '1 càs', '150 g', '50 g', '1 càc', '1 poignée'],,,,,,,,,,,,,,,,,,,
410,https://jow.fr/recipes/cacio-e-pepe-879tijmc2ts326bz02k5,Cacio e Pepe,-2 € par portion,3 minutes,8 minutes,0 minutes,469 kcal,['Pâtes (spaghetti)', 'Pecorino Romano', 'Poivre noir'],['120 g', '2 càs', '1 pinc.'],,,,,,,,,,,,,,,,,,,,
412,https://jow.fr/recipes/saumon-et-legumes-rotis-87b066t7gvqo204c00xq,Saumon et légumes rôtis,+4 € par portion,8 minutes,45 minutes,0 minutes,467 kcal,['Saumon (frais)', 'Pommes de terre (primeur)', 'Échalote', 'Vinaigre balsamique', 'Tomate cerise', 'Romarin (séché)'],['1  ', '200 g', '1  ', '1 càc', '100 g', '1 pinc.'],,,,,,,,,,,,,,
413,https://jow.fr/recipes/boudin-aux-pommes-et-puree-maison-87bejm63gvqo204c019i,Boudin aux pommes & purée maison,2 € et 4 € par portion,6 minutes,15 minutes,0 minutes,747 kcal,['Pommes de terre', 'Pomme (à cuire)', 'Lait', 'Beurre', 'Boudin noir'],['250 g', '1  ', '5 cl', '20 g', '1  '],,,,,,,,,,,,,,,,
414,https://jow.fr/recipes/puree-maison-et-poulet-a-la-creme-87c5ebmhjk9j52f40y5e,Purée maison & poulet à la crème,2 € et 4 € par portion,4 minutes,17 minutes,0 minutes,667 kcal,['Pommes de terre', 'Crème fraîche', 'Lait', 'Poulet (escalope)', 'Beurre'],['250 g', '1 càs', '5 cl', '1  ', '20 g'],,,,,,,,,,,,,,,,
415,https://jow.fr/recipes/boulettes-facon-carbo-87c6m4wpjk9j52f40ydf,Boulettes façon carbo,2 € et 4 € par portion,5 minutes,10 minutes,0 minutes,653 kcal,['Pâtes fraîches', 'Saucisse (chipolata)', 'Œuf', 'Persil (frais)', 'Parmesan (râpé)'],['100 g', '1.5  ', '1/2  ', '1/10 bou.', '15 g'],,,,,,,,,,,,,,,,
417,https://jow.fr/recipes/salade-de-poivrons-grilles-87c6avrtjk9j52f40yb4,Salade de poivrons grillés,2 € et 4 € par portion,3 minutes,8 minutes,0 minutes,499 kcal,['Poivrons grillés', 'Petits pois (surgelés)', 'Amandes (entières)', 'Persil (frais)', 'Parmesan (morceaux)', 'Vinaigre de vin rouge'],['150 g', '150 g', '20 g', '1/10 bou.', '20 g', '1 càc'],,,,,,,,,,,,,,
418,https://jow.fr/recipes/brochette-poulet-et-poivrons-87dwifwb4dxx1hhj0sbr,Brochette poulet & poivrons,2 € et 4 € par portion,4 minutes,15 minutes,0 minutes,459 kcal,['Poulet (escalope)', 'Poivron rouge', 'Oignon rouge', 'Blé (à cuire)', 'Pics à brochette'],['1  ', '1/4  ', '1/4  ', '70 g', '1  '],,,,,,,,,,,,,,,,
420,https://jow.fr/recipes/salade-tomates-et-agrumes-87c8b3h5jk9j52f40yrs,Salade tomates & agrumes,2 € et 4 € par portion,0 minutes,10 minutes,0 minutes,602 kcal,['Pamplemousse', 'Avocat', 'Tomate', 'Échalote', 'Vinaigre de cidre', 'Orange'],['1/2  ', '1  ', '200 g', '1/4  ', '1 càc', '1/2  '],,,,,,,,,,,,,,
424,https://jow.fr/recipes/tex-mex-fajitas-87i1gurn91cy4lvc0c87,Tex-Mex Fajitas,+4 € par portion,6 minutes,10 minutes,0 minutes,679 kcal,['Kit fajitas', 'Poulet (escalope)', 'Haricots rouges (cuits)', 'Maïs (conserve)', 'Avocat', 'Coriandre (frais)'],['1  ', '1  ', '90 g', '90 g', '1/2  ', '1/10 bou.'],,,,,,,,,,,,,,
425,https://jow.fr/recipes/riz-au-lait-coco-87i25v4391cy4lvc0cb8,Riz au lait coco,,2 minutes,30 minutes,0 minutes,301 kcal,['Riz (Arborio)', 'Lait de coco', 'Citron vert', 'Noix de coco (râpée)', 'Sucre (en poudre)'],['25 g', '8 cl', '1/4  ', '5 g', '1/2 càs'],,,,,,,,,,,,,,,,
426,https://jow.fr/recipes/huevos-rotos-aux-champignons-87i2bhz791cy4lvc0cdp,Huevos rotos aux champignons,-2 € par portion,6 minutes,25 minutes,0 minutes,354 kcal,['Pommes de terre (primeur)', 'Œuf', 'Oignon jaune', 'Champignons de Paris (frais)', 'Paprika', 'Ail'],['200 g', '1  ', '1/4  ', '100 g', '1/2 càc', '1/2 gou.'],,,,,,,,,,,,,,
427,https://jow.fr/recipes/pasta-al-ragu-d-anatra-87ig6h4if8cjltxm0rha,Pasta al ragu d'anatra,2 € et 4 € par portion,8 minutes,15 minutes,0 minutes,688 kcal,['Pâtes (Pappardelle)', 'Canard (confit)', 'Tomate pelée', 'Échalote', 'Parmesan (râpé)', 'Vin rouge'],['100 g', '1/2  ', '70 g', '1/2  ', '1/4 càs', '1 cl'],,,,,,,,,,,,,,
428,https://jow.fr/recipes/riz-saute-citron-curcuma-87igf1o2f8cjltxm0rit,Riz sauté citron curcuma,-2 € par portion,1 minute,17 minutes,0 minutes,402 kcal,['Riz', 'Curcuma (poudre)', 'Curry (poudre)', 'Cumin (graines)', 'Coriandre (frais)', 'Citron jaune', 'Noix de cajou'],['80 g', '1/2 càc', '1/4 càc', '1/2 pinc.', '1/10 bou.', '1/4  ', '10 g'],,,,,,,,,,,,
430,https://jow.fr/recipes/poulet-roti-a-la-harissa-87ioe1jwippw6bxq1b76,Poulet rôti à la harissa,+4 € par portion,8 minutes,1 heure,0 minutes,634 kcal,['Poulet (entier)', 'Poivron (assortiment)', 'Oignon rouge', 'Harissa (pâte)'],['1  ', '6  ', '2  ', '2 càc'],,,,,,,,,,,,,,,,,,
432,https://jow.fr/recipes/riz-au-lait-calin-87jrm9jk1g68if0002bs,Riz au lait câlin,,2 minutes,30 minutes,0 minutes,310 kcal,"['Riz (Arborio)', 'Lait de coco', 'Amandes (effilées)', 'érable""]']",['25 g', '5 cl', '15 g', '1 càs'],,,,,,,,,,,,,,,,,,,,,
436,https://jow.fr/recipes/kefta-a-la-menthe-87m455pefe2cd5ft006l,Kefta à la menthe,2 € et 4 € par portion,6 minutes,5 minutes,0 minutes,564 kcal,['Bœuf (haché)', 'Quatre-épices', 'Cumin (moulu)', 'Menthe (feuilles)', 'Oignon rouge', 'Ail', 'Yaourt Grec', 'Pain pita'],['150 g', '1/2 càc', '1/2 càc', '1/10 bou.', '1/4  ', '1/2 gou.', '2 càs', '1  '],,,,,,,,,,
