,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
17,https://jow.fr/recipes/cabillaud-en-croute-de-chorizo-7yp3ltpifdi8044p1ajg,Cabillaud en croûte de chorizo,+4 € par portion,5 minutes,15 minutes,0 minutes,502 kcal,['Cabillaud (frais)', 'Chorizo (tranches)', 'Parmesan (râpé)', 'Chapelure', 'Beurre', 'Salade (Mélange)'],['1  ', '30 g', '30 g', '2 càs', '10 g', '2 poignées'],,,,,,,,,,,,,,
18,https://jow.fr/recipes/saumon-mi-cuit-et-riz-7yp7fmb4lr4g03zj03pv,Saumon mi-cuit & riz,2 € et 4 € par portion,1 minute,10 minutes,0 minutes,574 kcal,['Saumon (frais)', 'Riz'],['1  ', '90 g'],,,,,,,,,,,,,,,,,,,,,,
19,https://jow.fr/recipes/spaghetti-ail-et-crevette-7yrd68zfi93k041m109b,Spaghetti ail & crevette,2 € et 4 € par portion,2 minutes,10 minutes,0 minutes,507 kcal,"['Pâtes (spaghetti)', 'Crevette (cuite)', 'Ail', 'Espelette"", ', ']']",['100 g', '100 g', '1/2 gou.', '1 pinc.', '1/10 bou.'],,,,,,,,,,,,,,,,,,,,
20,https://jow.fr/recipes/pasta-alfredo-au-poulet-7zala73cbalc042e17ya,Pasta Alfredo au poulet,2 € et 4 € par portion,5 minutes,12 minutes,0 minutes,895 kcal,['Pâtes (Tagliatelles sèches)', 'Poulet (escalope)', 'Crème liquide', 'Ail', 'Parmesan (râpé)'],['100 g', '1  ', '10 cl', '1/2 gou.', '1 càs'],,,,,,,,,,,,,,,,
22,https://jow.fr/recipes/crevettes-miel-sesame-7zktabbmebr4042902ug,Crevettes miel sésame,2 € et 4 € par portion,3 minutes,10 minutes,0 minutes,471 kcal,['Crevette (cuite)', 'Riz', 'Ail', 'Graines de sésame', 'Citron vert', 'Miel (liquide)', 'Oignon rouge'],['100 g', '70 g', '1/2 gou.', '1 càc', '1/4  ', '1 càc', '1/2  '],,,,,,,,,,,,
24,https://jow.fr/recipes/salade-tomates-et-nectarines-80kgb9s56khc044a17ht,Salade tomates & nectarines,2 € et 4 € par portion,0 minutes,5 minutes,0 minutes,348 kcal,['Basilic (frais)', 'Tomate', 'Mozzarella di bufala', 'Nectarine'],['1/10 bou.', '250 g', '1/2  ', '1  '],,,,,,,,,,,,,,,,,,
25,https://jow.fr/recipes/salade-courgette-petits-pois-feta-80kyi81x6khc044a17ns,Salade courgette petits pois feta,2 € et 4 € par portion,3 minutes,10 minutes,0 minutes,367 kcal,['Courgette', 'Coriandre (frais)', 'Petits pois (surgelés)', 'Feta', 'Citron jaune', 'Salade (roquette)'],['1/2  ', '1/5 bou.', '100 g', '50 g', '1/4  ', '1 poignée'],,,,,,,,,,,,,,
27,https://jow.fr/recipes/assiette-italienne-80nzm32mm6w0040414z1,Assiette italienne,+4 € par portion,0 minutes,5 minutes,0 minutes,508 kcal,['Tomate cerise', 'Artichauts marinés', 'Jambon cru', 'Burrata', 'Salade (roquette)'],['100 g', '100 g', '2 tran.', '100 g', '1 poignée'],,,,,,,,,,,,,,,,
29,https://jow.fr/recipes/salade-courgette-nectarine-80sm3ua6d5og040j0m30,Salade courgette nectarine,2 € et 4 € par portion,0 minutes,7 minutes,0 minutes,437 kcal,['Courgette', 'Nectarine', 'Citron jaune', 'Pignons de pin', 'Basilic (frais)', 'Feta'],['1  ', '1  ', '1/4  ', '1 càs', '1/10 bou.', '40 g'],,,,,,,,,,,,,,
30,https://jow.fr/recipes/gaspacho-tomate-fraise-basilic-et-burrata-80t8kuk60hg0041q152y,Gaspacho tomate fraise ,+4 € par portion,8 minutes,1 minute,0 minutes,360 kcal,['Tomate', 'Fraise', 'Basilic (frais)', 'Burrata', 'Ail', 'Oignon rouge', 'Biscotte'],['3  ', '4  ', '1/10 bou.', '1/2  ', '1/4 gou.', '1/4  ', '1  '],,,,,,,,,,,,
